Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: filename,Param: thumbSize
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.alloc.rate,avgt,1,3,6,1,MB/sec,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.alloc.rate.norm,avgt,1,3,"2,139,135","897,401",B/op,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.count,avgt,1,3,0,NaN,counts,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8,avgt,1,3,2,1,s/op,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.alloc.rate,avgt,1,3,9,4,MB/sec,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.alloc.rate.norm,avgt,1,3,"20,013,984","5,326,532",B/op,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.count,avgt,1,3,0,NaN,counts,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8,avgt,1,3,1,0,s/op,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.alloc.rate,avgt,1,3,4,7,MB/sec,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.alloc.rate.norm,avgt,1,3,"6,491,747","4,021,643",B/op,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling8:ובgc.count,avgt,1,3,0,NaN,counts,building-30mb.jpg,200
